Architecture,Science Score,Cost,Duty Cycle Violation,Instrument Orbit Assignment Violation,Interference Violation,Packing Efficiency Violation,Spacecraft Mass Violation,Instrument Synergy Violation
0 0 1 1 2 2 2 2 3 4 5 6 | 1 3 0 3 0 2 2 -1 -1 -1 -1 -1,0.34020898506393293,6563.177049761144,0.01180046539522612,0.003968253968253968,0.34285714285714286,0.0,0.015938600530634322,0.2571428571428572
0 0 0 0 0 0 0 1 1 1 1 1 | 1 1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,0.24742959104938272,6862.5360691222795,0.2071476093226033,0.013888888888888888,0.7,0.0,0.25121862364739833,0.4
0 0 0 1 2 3 3 3 3 3 4 4 | 3 1 0 4 3 -1 -1 -1 -1 -1 -1 -1,0.20847898055831127,5949.167728032366,0.011756811661404742,0.02222222222222222,0.0,0.0,0.0,0.31999999999999995
0 0 1 2 2 3 3 4 5 5 6 7 | 2 2 0 2 1 3 1 4 -1 -1 -1 -1,0.30564530423280417,6076.694701229668,0.011275654953610936,0.006944444444444444,0.175,0.0,0.0,0.22500000000000003
0 0 1 1 1 2 3 3 4 5 6 7 | 2 0 3 3 3 2 0 0 -1 -1 -1 -1,0.22737173445767195,6408.050647431188,0.017881307648613134,0.010416666666666666,0.525,0.0,0.02019526916149735,0.22500000000000003
0 1 1 2 2 3 4 4 4 5 5 6 | 0 3 0 4 1 1 2 -1 -1 -1 -1 -1,0.27168843143738974,6272.714306956299,0.012886462804126784,0.003968253968253968,0.17142857142857143,0.0,0.0,0.2571428571428572
0 0 1 1 1 2 2 3 4 5 6 6 | 2 0 2 3 0 2 3 -1 -1 -1 -1 -1,0.20788149388227511,6586.537290802415,0.02043578016984358,0.015873015873015872,0.5142857142857143,0.0,0.02308030761313983,0.2571428571428572
0 1 1 1 2 2 2 3 3 4 5 5 | 1 2 1 0 1 0 -1 -1 -1 -1 -1 -1,0.22307395557760135,6738.4220464119435,0.02039741258770968,0.013888888888888888,0.3333333333333333,0.0,0.013014563921818332,0.3333333333333333
0 0 0 0 0 1 2 2 3 3 3 3 | 3 4 1 3 -1 -1 -1 -1 -1 -1 -1 -1,0.3480610229276896,6154.783960894412,0.07048652493579863,0.0,0.75,0.0,0.048171820482570356,0.35
0 1 1 2 3 3 4 4 4 5 5 6 | 3 3 0 0 1 1 4 -1 -1 -1 -1 -1,0.2821050981040564,6244.056029522751,0.0,0.003968253968253968,0.17142857142857143,0.0,0.0,0.2571428571428572
